,link,title
2782,http://pittsburghpa.gov/publicsafety/blotterview/2782,"UPDATE: Police, Fire, EMS Respond to Vehicle vs. Motorcycle Collision on Boulevard of the Allies - 05.08.2024"
2781,http://pittsburghpa.gov/publicsafety/blotterview/2781,UPDATE: Pittsburgh Police Seek Public's Help to Locate Missing Juvenile Male - 05.07.2024
2780,http://pittsburghpa.gov/publicsafety/blotterview/2780,"South Side Entertainment Patrol Arrests and Citations for May 1 - 5, 2024 - 05.06.2024"
2779,http://pittsburghpa.gov/publicsafety/blotterview/2779,Detectives Attempt to Identify Suspect in Street Robbery - 05.06.2024
2776,http://pittsburghpa.gov/publicsafety/blotterview/2776,Pittsburgh Police and EMS Respond to Fatal Construction Accident in Oakland - 05.03.2024
2775,http://pittsburghpa.gov/publicsafety/blotterview/2775,Police Investigate Fatal Overnight Shooting in Bedford Dwellings - 05.03.2024
2777,http://pittsburghpa.gov/publicsafety/blotterview/2777,"Police, Fire, EMS Respond for Male Injured by Train on the South Side - 05.03.2024"
2778,http://pittsburghpa.gov/publicsafety/blotterview/2778,"SUV Crashes into Front Porch of Home, Female Driver Transported to the Hospital - 05.03.2024"
2774,http://pittsburghpa.gov/publicsafety/blotterview/2774,"Pittsburgh Police, Fire, and EMS Respond to Partial Building Collapse in Highland Park - 05.02.2024"
2773,http://pittsburghpa.gov/publicsafety/blotterview/2773,Police Investigate Armed Business Robbery in Allentown - 05.02.2024
2771,http://pittsburghpa.gov/publicsafety/blotterview/2771,Pittsburgh Police Warn the Public about Increase in Various Fraud Scams - 05.01.2024
2772,http://pittsburghpa.gov/publicsafety/blotterview/2772,Violence Prevention Unit Detectives Arrest Juvenile and Recover Firearm Downtown - 05.01.2024
2770,http://pittsburghpa.gov/publicsafety/blotterview/2770,UPDATE: Pittsburgh Police Ask for Public's Help in Search for Missing Juvenile Male - 04.30.2024
2769,http://pittsburghpa.gov/publicsafety/blotterview/2769,"Violence Prevention Unit Detectives Make Weekend Arrests, Recover Firearms - 04.30.2024"
